TransectID,veg_type,rate_m_yr,group
205,Degraded Vegetation,-1.0073254686429332,Degraded Vegetation
206,Degraded Vegetation,-0.1116543381818218,Degraded Vegetation
207,Degraded Vegetation,-0.1499134619380023,Degraded Vegetation
208,Degraded Vegetation,-0.0645797570962996,Degraded Vegetation
209,Degraded Vegetation,0.0241885634387626,Degraded Vegetation
210,Degraded Vegetation,0.1467959691745321,Degraded Vegetation
211,Degraded Vegetation,0.1755757608205974,Degraded Vegetation
212,Degraded Vegetation,-0.0838035006691167,Degraded Vegetation
213,Degraded Vegetation,0.0437136859435117,Degraded Vegetation
214,Degraded Vegetation,0.0205122132597072,Degraded Vegetation
215,Degraded Vegetation,-0.1599489267946277,Degraded Vegetation
216,Degraded Vegetation,0.0380793387358395,Degraded Vegetation
217,Built-up,0.3080500856453534,Built-up
218,Degraded Vegetation,-0.2454467873381665,Degraded Vegetation
219,Degraded Vegetation,-0.0243541542774243,Degraded Vegetation
220,Healthy Vegetation,-0.2031989827252446,Healthy Vegetation
221,Healthy Vegetation,0.3430828206552112,Healthy Vegetation
222,Degraded Vegetation,0.4575555398832112,Degraded Vegetation
223,Healthy Vegetation,0.3557542897400451,Healthy Vegetation
224,Degraded Vegetation,0.5427747046594936,Degraded Vegetation
225,Healthy Vegetation,-1.2386887626010088,Healthy Vegetation
226,Built-up,-0.4293630878971439,Built-up
227,Built-up,-0.553193152266997,Built-up
228,Built-up,0.015839722807852,Built-up
229,Built-up,-0.502581176620571,Built-up
230,Degraded Vegetation,-0.5881645486982805,Degraded Vegetation
231,Degraded Vegetation,-0.7202435327663799,Degraded Vegetation
232,Degraded Vegetation,-0.4433217324691753,Degraded Vegetation
233,Degraded Vegetation,-0.3796082341946857,Degraded Vegetation
234,Degraded Vegetation,-0.0296139073673129,Degraded Vegetation
235,Degraded Vegetation,-0.2216848400649618,Degraded Vegetation
236,Degraded Vegetation,-0.1348431649294105,Degraded Vegetation
237,Built-up,-0.1777192388762619,Built-up
238,Degraded Vegetation,-0.239086812439442,Degraded Vegetation
239,Degraded Vegetation,-0.1187465017616831,Degraded Vegetation
240,Degraded Vegetation,-0.1173219966657772,Degraded Vegetation
241,Healthy Vegetation,-0.0978123662140313,Healthy Vegetation
242,Degraded Vegetation,0.0094690629314785,Degraded Vegetation
243,Degraded Vegetation,0.0175193324427898,Degraded Vegetation
244,Degraded Vegetation,0.4263912671792679,Degraded Vegetation
245,Degraded Vegetation,0.0419856339423541,Degraded Vegetation
